id,name,prices
1,cmska,399
2,hfaqhl,359
3,iqjrny,159
4,dyghbhvh,259
5,abgckdsv,259
6,yzfm,439
7,krnwcwxih,379
8,ogzlasr,419
9,cdnllz,239
10,bsgif,459
11,pmomjoktn,199
12,mkhy,279
13,zjys,419
14,nggyut,499
15,vpxu,239
16,vwted,499
17,fldyo,319
18,woig,359
19,whyyo,179
20,vnjjvtu,419
21,wludx,459
22,diffmdwrm,159
23,wysv,299
24,oqaafciro,219
25,sejuhasn,359
26,ubbuogdei,359
27,ckqujdjg,259
28,xgchn,439
29,gmewglumu,499
30,cmtrpy,279
31,lfiz,239
32,xhwcmko,359
33,wrcydvafb,459
34,lkgekgb,219
35,xnyglarx,199
36,ixyxe,439
37,boldrt,419
38,xvhg,439
39,fvqs,259
40,bvek,259
41,wuzs,419
42,huysjpte,399
43,yuxfyil,379
44,lbbsnwexu,199
45,dhusgecvb,319
46,yqzlpdgxz,479
47,nmtozwfl,319
48,yongifz,179
49,cxvrjsy,359
50,orpttefxj,419
